,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
H5,3119.616988785192,3162.302788100992,3166.574055773726,3254.4893485906423,134.8723598054503,0.8931777911726307,39.106668874665544,2.311384805293139,38.45,39.77,1.3200000000000003,Texas Red
H6,3130.4925370884816,3438.6923418852984,4045.428383865536,4449.072227572353,1318.5796904838712,0.9934766495004873,39.493518260546196,261.8679712723084,37.75,41.24,3.490000000000002,Texas Red
H7,3232.3989421540796,3285.838743270992,3292.2860903747514,3407.534856603298,175.1359144492185,0.9538951144893424,38.04547860608557,2.957823231476395,37.03,39.06,2.030000000000001,Texas Red
H8,3161.4018445192714,3267.007965502335,3271.164102809632,3400.3812181864105,238.97937366713904,0.8768969540967817,53.99999933619062,2.6422709049747093,53.34,54.66,1.3199999999999932,Texas Red
H9,3093.424140323107,3237.6849570098316,3250.4113043111724,3289.7307394613526,196.30659913824547,0.7103599488072487,33.85590340260713,9.132953290449493,30.62,37.09,6.470000000000002,Texas Red
H10,3187.293196453291,3273.128158151051,3289.1768860652255,3303.1115643721664,115.81836791887554,0.5457404568832922,34.007714535997415,11.16554812871784,29.33,38.68,9.350000000000001,Texas Red
H11,3090.605026256329,3333.781930880219,3345.69541258667,3438.0137814413415,347.4087551850125,0.8333525018362732,37.112049191678814,8.728431531884427,34.71,39.52,4.810000000000002,Texas Red
H12,3156.79237851939,3239.9231586388105,3268.7250711792685,3370.3221984835754,213.52981996418566,0.9455658812470524,53.78493232114836,10.267445087180086,50.91,56.66,5.75,Texas Red
H13,3257.772414622322,3305.8200069091413,3336.7633673581086,3339.831098300984,82.05868367866242,0.7710486947244194,35.53215594573521,21.00227115055795,27.51,43.55,16.039999999999996,Texas Red
H14,3202.782837660081,3270.347443491419,3284.2453019862946,3287.8995368205656,85.11669916048459,0.5002386064180622,29.11746400221448,8.735661811986231,24.93,33.3,8.369999999999997,Texas Red
H15,3252.100036991602,3342.8272844261173,3352.3486277165093,3462.862495979536,210.76245898793422,0.9732847857162382,53.99999997737766,4.837191641664458,53.34,54.66,1.3199999999999932,Texas Red
H16,3242.225049153518,3746.228159609002,4919.164316772477,5460.649642020464,2218.424592866946,0.9795457875460203,49.07158799022411,507.7020046266021,48.41,49.73,1.3200000000000003,Texas Red
H17,3099.297132582166,3218.235298671605,3235.4120672886293,3260.2005895060593,160.90345692389337,0.752314340332088,34.22271857880016,12.73958465951517,29.72,38.73,9.009999999999998,Texas Red
H18,3093.087441441018,3241.2104940136314,3258.028568544733,3289.4494097062116,196.36196826519335,0.7599569706168696,33.1706173800235,13.993218962739641,28.45,37.89,9.440000000000001,Texas Red
H19,3053.539614127858,3277.058430870992,3289.512554196134,3363.5823268331055,310.0427127052476,0.9059577185571539,35.67079336475891,11.570965003436427,32.19,39.15,6.960000000000001,Texas Red
H20,3079.890659231746,3278.2536144696883,3294.6199252847496,3343.923094546403,264.0324353146566,0.8928993306336053,33.50167240856298,15.568292097569413,28.87,38.14,9.27,Texas Red
H21,3071.9855242081653,3208.5675411135358,3212.8445577356783,3257.08273645927,185.0972122511048,0.7448059226811128,33.13328098202128,3.5682086950570824,30.83,35.44,4.609999999999999,Texas Red
H22,3159.1396037858485,3207.934294428359,3228.2958539361293,3316.218386536592,157.07878275074336,0.9884793601959788,41.54272416388808,8.549350221153901,40.1,42.98,2.8799999999999955,Texas Red
H23,3004.857194739982,3267.002203946958,3275.4472111263535,3354.7339916585734,349.8767969185915,0.9104254366165476,32.64270501407445,9.459922082287685,29.48,35.8,6.319999999999997,Texas Red
H24,3206.7778187483464,3274.3946348872005,3305.052825305939,3385.443474950286,178.66565620193978,0.9337153153456751,53.99994478838426,13.768724623120972,53.34,54.66,1.3199999999999932,Texas Red
I1,3003.5568355487408,3133.900967574771,3150.0274869628456,3174.6006410710143,171.0438055222735,0.7525969835050597,33.70107615924234,15.601982483112806,27.6,39.8,12.199999999999996,Texas Red
I2,3160.901295073904,3275.287814374097,3564.888239658039,3688.4054592677676,527.5041641938637,0.997880924531604,40.636039542301276,125.12363971150022,38.64,42.63,3.990000000000002,Texas Red
I3,2961.646285218455,3135.0125691196736,3160.947361650471,3174.022953149308,212.37666793085282,0.8440762536303565,33.7362819737951,37.65794899282305,22.75,44.72,21.97,Texas Red
I4,2992.437280546018,3122.477737505013,3146.657555663965,3159.1332481436502,166.69596759763226,0.8475242255269257,34.04529143977743,24.378971256497678,25.83,42.26,16.43,Texas Red
I5,3048.5473695900023,3178.7187331309974,3202.304879790342,3226.3324833559604,177.78511376595816,0.7675212262824802,35.56308091551379,18.556659876491892,29.98,41.15,11.169999999999998,Texas Red
I6,3139.7306922765765,3644.513174287692,4813.152424287897,5335.80763479946,2196.0769425228837,0.9404337076682265,53.99999866679781,505.7901828676917,53.34,54.66,1.3199999999999932,Texas Red
I7,3078.182268927825,3144.096432580105,3160.68494793863,3165.6407482547675,87.45847932694232,0.5529801054404329,33.36543993331128,11.335899371168997,28.02,38.71,10.690000000000001,Texas Red
I8,3143.5902350460556,3148.7606772262866,3171.017598727453,3176.1924092337626,32.60217418770708,0.5849888773614291,36.8661735177938,10.789285339385062,32.55,41.18,8.630000000000003,Texas Red
I9,3082.0117698298295,3190.4312717353537,3209.578495416441,3235.811254398454,153.7994845686244,0.5895678121331961,36.395389953498075,12.043551219508046,32.75,40.04,7.289999999999999,Texas Red
I10,3030.340134716582,3162.720871497236,3178.0742709455412,3215.905166682899,185.5650319663173,0.7091073710511596,36.07539971285634,10.920315681973666,32.43,39.72,7.289999999999999,Texas Red
I11,3076.5942779806887,3182.5779924488775,3202.8776903752373,3223.633774648685,147.03949666799645,0.6760698185919866,35.88595234741762,14.49930100870695,31.0,40.77,9.770000000000003,Texas Red
I12,3150.6296346139993,3248.1127394425775,3271.494078456401,3455.0112963173588,304.38166170335944,0.7203222218716784,40.967273751909936,10.498770090703115,40.0,41.94,1.9399999999999977,Texas Red
I13,3087.7989263077015,3178.589311607434,3200.3156858552993,3211.8742183302415,124.07529202254,0.7044944944501293,35.06407097343128,15.07329161096815,29.79,40.33,10.54,Texas Red
I14,3048.9530119889846,3196.1829041611504,3221.875164918014,3254.512199088684,205.55918709969956,0.7796104644070951,36.37702455039298,18.964781264,31.49,41.26,9.77,Texas Red
I15,3118.1483589051313,3168.060301613735,3194.220142102722,3197.1601487755433,79.01178987041203,0.7646374705941854,36.39024671592446,16.74592766787071,29.95,42.83,12.879999999999999,Texas Red
I16,3075.39270119053,3168.8675063493106,3189.4574885650954,3203.26796979982,127.87526860929029,0.7743948200596295,36.45674794306755,17.15295502507947,29.69,43.23,13.539999999999996,Texas Red
I17,3143.1625827308867,3220.835754275435,3227.4158012188586,3322.1614337192495,178.99885098836285,0.9534587741142113,53.99999826897214,3.4603917724089857,53.34,54.66,1.3199999999999932,Texas Red
I18,3206.526734110334,3311.04048607433,3322.854195790302,3450.092461754261,243.56572764392695,0.5997060071436009,53.999995614592144,5.932677939792724,53.34,54.66,1.3199999999999932,Texas Red
I19,2973.874362374211,3095.413954244008,3113.7612505456714,3146.644951055798,172.77058868158701,0.8885616857292384,37.20893024284236,13.217986677455645,32.93,41.49,8.560000000000002,Texas Red
I20,2999.811249194792,3134.8514100376287,3152.7572591087187,3178.5578226578787,178.74657346308686,0.859869236694228,34.13749464393823,16.597395497604786,28.15,40.13,11.980000000000004,Texas Red
I21,3013.268571578501,3158.925123130806,3182.2536080514465,3212.494959522154,199.2263879436532,0.9041867291977776,37.2698781256562,23.957966536159258,29.82,44.72,14.899999999999999,Texas Red
I22,3053.650327749965,3217.2577779265575,3231.815613348845,3271.8309140461265,218.18058629616144,0.9127893133957132,32.68107972423725,11.061327698133978,29.1,36.26,7.159999999999997,Texas Red
I23,3120.3276367748867,3188.980562383371,3197.9050902925615,3281.389310437756,161.06167366286945,0.9466372432337808,53.99999767709511,4.396275013308756,53.34,54.66,1.3199999999999932,Texas Red
I24,3034.807412185262,3160.785654697611,3180.342504685511,3208.5009761062583,173.69356392099644,0.7332856855376721,36.00696428591574,15.709944703542313,30.75,41.26,10.509999999999998,Texas Red
J1,3055.986248795638,3156.6256121944803,3185.2182677272417,3190.41259844809,134.42634965245225,0.8202132476726319,37.10800948587456,27.44047191126263,27.67,46.55,18.879999999999995,Texas Red
J2,3061.113885520053,3259.6364444001943,3283.0206727273767,3327.2128541494553,266.0989686294024,0.8522923925731869,35.21540127852665,23.828417559882837,28.98,41.45,12.470000000000002,Texas Red
J3,3076.136571709314,3187.97129286278,3205.927675629967,3230.650757615041,154.51418590572712,0.6338226002496276,35.61801630026392,13.188871899227312,30.96,40.27,9.310000000000002,Texas Red
J4,3059.7064810886036,3229.14946780069,3251.567572347589,3284.104142217113,224.3976611285093,0.7810493536421356,33.743228778101525,19.53382873619828,28.24,39.25,11.010000000000002,Texas Red
J5,3118.340610009894,3199.4097209338242,3216.7214689381344,3357.8202816202243,239.47967161033012,0.9455100564658063,43.42907450532311,7.372118499753064,42.19,44.66,2.469999999999999,Texas Red
J6,3146.256010517868,3215.0481188033314,3216.7660685128494,3301.0371835739047,154.78117305603655,0.9490030940983115,53.99837115719024,1.2909403625500835,53.33,54.66,1.3299999999999983,Texas Red
J7,3042.098033394563,3173.4001162099407,3192.7513665003967,3224.113322455999,182.01528906143585,0.7496365730645305,35.69676784374046,14.13414244560352,31.31,40.08,8.77,Texas Red
J8,3203.901847593777,3212.7645226577615,3213.9512173677363,3224.7260176436,20.824170049822897,0.009838477877986307,53.999986646314575,0.5815816382121017,53.34,54.66,1.3199999999999932,Texas Red
J9,3129.3215380431934,3156.9452566510827,3180.5683364089514,3183.796974939725,54.47543689653139,0.6410360937758823,36.27216846277318,14.07978937585085,29.74,42.8,13.059999999999999,Texas Red
J10,3112.886492300722,3200.400002795744,3219.8533433524885,3233.052352645406,120.165860344684,0.6364264574461831,35.104414426446645,13.249750780533628,30.21,40.0,9.79,Texas Red
J11,3144.5469667579355,3199.1768968157003,3202.663159951266,3322.5127593945804,177.9657926366449,0.9649869724347471,37.6691769652312,2.1342219311520094,37.01,38.33,1.3200000000000003,Texas Red
J12,3020.2908669848557,3193.8090083150014,3213.4034424347396,3266.218643247826,245.92777626297038,0.7696279390082469,37.088497019544995,14.923187329608261,33.11,41.06,7.950000000000003,Texas Red
